Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Gresik;72.61;13.72;9.29;13295;76.1;2019
Kabupaten Bangkalan;70.11;11.59;5.66;8718;63.79;2019
Kabupaten Sampang;67.96;12.08;4.55;8760;61.94;2019
Kabupaten Pamekasan;67.45;13.63;6.4;8834;65.94;2019
Kabupaten Sumenep;71.22;13.19;5.46;9082;66.22;2019
Kota Kediri;73.96;14.97;9.92;12440;78.08;2019
Kota Blitar;73.6;14.31;10.1;13851;78.56;2019
Kota Malang;73.15;15.41;10.17;16666;81.32;2019
Kota Probolinggo;70.19;13.57;8.69;12280;73.27;2019
Kota Pasuruan;71.4;13.6;9.11;13393;75.25;2019
Kota Mojokerto;73.21;13.83;10.24;13710;77.96;2019
Kota Madiun;72.75;14.39;11.13;16040;80.88;2019
Kota Surabaya;74.13;14.79;10.47;17854;82.22;2019
Kota Batu;72.54;14.12;9.06;12870;75.88;2019
Kabupaten Pacitan;74.01;12.64;7.6;8796;69.28;2020
Kabupaten Ponorogo;74.49;13.73;7.54;9670;71.57;2020
Kabupaten Trenggalek;74.58;12.35;7.55;9630;70.1;2020
Kabupaten Tulungagung;74.41;13.31;8.33;10705;73.15;2020
Kabupaten Blitar;74.54;12.46;7.39;10654;71.02;2020
Kabupaten Kediri;74.27;13.15;8.02;11000;72.8;2020
Kabupaten Malang;74.56;13.18;7.42;10028;71.24;2020
Kabupaten Lumajang;73.83;11.81;6.4;9088;67.04;2020
Kabupaten Jember;73.44;13.42;6.48;9294;69.01;2020
Kabupaten Banyuwangi;73.35;12.8;7.16;12140;71.85;2020
Kabupaten Bondowoso;72.61;13.28;5.93;10610;69.1;2020
Kabupaten Situbondo;72.64;13.15;6.46;9857;68.94;2020
Kabupaten Probolinggo;73.22;12.35;6.11;10859;68.77;2020
Kabupaten Pasuruan;73.83;12.41;7.4;10164;70.2;2020
Kabupaten Sidoarjo;74.78;14.93;10.5;14458;80.65;2020
Kabupaten Mojokerto;74.16;12.88;8.51;12779;74.58;2020
Kabupaten Jombang;73.85;13.27;8.54;11261;73.63;2020
